JUNGFER;JUNGFER FRÖHLICHIN;1
HERR GOTTHART;JUNGFER;1
HERR GOTTHART;KATHRINE;3
HERR GOTTHART;HERR GOTTHART UND ERNST GOTTHART;1
HERR GOTTHART;JUNGFER FRÖHLICHIN;6
DR;HERR GOTTHART;2
DR;HEINRICH;1
DR;ERNST GOTTHART;4
DR;HERR GOTTHART UND ERNST GOTTHART;1
DR;JUNGFER FRÖHLICHIN;3
DR;FRAU KREUZIN;3
HEINRICH;HERR GOTTHART;5
HEINRICH;KATHRINE;3
HEINRICH;JUNGFER FRÖHLICHIN;3
HEINRICH;HERR FRÖHLICH;1
ERNST GOTTHART;HERR GOTTHART;9
ERNST GOTTHART;HEINRICH;7
ERNST GOTTHART;KATHRINE;1
ERNST GOTTHART;HERR GOTTHART UND ERNST GOTTHART;1
ERNST GOTTHART;JUNGFER FRÖHLICHIN;9
ERNST GOTTHART;FRAU KREUZIN;5
ERNST GOTTHART;HERR FRÖHLICH;3
JUNGFER FRÖHLICHIN;KATHRINE;1
FRAU KREUZIN;HERR GOTTHART;2
FRAU KREUZIN;HEINRICH;2
FRAU KREUZIN;JUNGFER FRÖHLICHIN;7
FRAU KREUZIN;HERR FRÖHLICH;2
HERR FRÖHLICH;HERR GOTTHART;3
HERR FRÖHLICH;JUNGFER FRÖHLICHIN;3
BEIDE;ERNST GOTTHART;1
BEIDE;JUNGFER FRÖHLICHIN;1
