OBRIST;OBRISTE;1
MARIANE;WESENER;6
MARIANE;MARY;2
MARIANE;WESENERS ALTE MUTTER;1
MARIANE;MARYS STIMME;1
MARIANE;MARIANENS STIMME;1
MARIANE;WEIBSPERSON;1
CHARLOTTE;MARIANE;4
CHARLOTTE;WESENER;3
CHARLOTTE;MARY;1
CHARLOTTE;JUNGFER ZIPFERSAAT;1
CHARLOTTE;MAGD;1
CHARLOTTE;JUNGER ZIPFERSAAT;1
CHARLOTTE;FRAU WESENERN;1
CHARLOTTE;FRAU WESENER;1
CHARLOTTE;LOTTE;1
MUTTER;STOLZIUS;2
DESPORTES;MARIANE;2
DESPORTES;STOLZIUS;2
DESPORTES;WESENER;2
DESPORTES;HAUDY;2
DESPORTES;MARY;2
DESPORTES;RAMMLER;1
DESPORTES;JUNGFER ZIPFERSAAT;1
DESPORTES;WESENERS ALTE MUTTER;1
DESPORTES;MADEMOISELLE BISCHOF;1
DESPORTES;MADAME BISCHOF;1
DESPORTES;GILBERT;1
WESENER;WESENERS ALTE MUTTER;1
DER JUNGE GRAF;HAUDY;1
DER JUNGE GRAF;HOFMEISTER;1
DER JUNGE GRAF;EISENHARDT;1
DER JUNGE GRAF;OBRISTER;1
DER JUNGE GRAF;MARY;1
HAUDY;STOLZIUS;3
HAUDY;HOFMEISTER;1
HAUDY;OBRISTER;1
HAUDY;MARY;4
HAUDY;PIRZEL;1
HAUDY;RAMMLER;3
HAUDY;RAMMLEER;1
HAUDY;MADEMOISELLE BISCHOF;1
HAUDY;MADAME BISCHOF;1
HOFMEISTER;OBRISTER;1
HOFMEISTER;MARY;1
EISENHARDT;STOLZIUS;1
EISENHARDT;HAUDY;2
EISENHARDT;HOFMEISTER;1
EISENHARDT;OBRISTER;1
EISENHARDT;MARY;2
EISENHARDT;PIRZEL;2
EISENHARDT;RAMMLER;1
EISENHARDT;RAMMLEER;1
MARY;STOLZIUS;6
MARY;OBRISTER;1
MARY;PIRZEL;1
MARY;RAMMLER;3
MARY;RAMMLEER;1
MARY;MARYS STIMME;1
PIRZEL;STOLZIUS;1
PIRZEL;RAMMLER;1
PIRZEL;RAMMLEER;1
EINER AUS DER GESELLSCHAFT;STOLZIUS;1
EINER AUS DER GESELLSCHAFT;HAUDY;1
EINER AUS DER GESELLSCHAFT;EISENHARDT;1
EINER AUS DER GESELLSCHAFT;MARY;1
EINER AUS DER GESELLSCHAFT;PIRZEL;1
EINER AUS DER GESELLSCHAFT;RAMMLER;1
EINER AUS DER GESELLSCHAFT;RAMMLEER;1
EIN ANDERER AUS DER GESELLSCHAFT;STOLZIUS;1
EIN ANDERER AUS DER GESELLSCHAFT;HAUDY;1
EIN ANDERER AUS DER GESELLSCHAFT;EISENHARDT;1
EIN ANDERER AUS DER GESELLSCHAFT;MARY;1
EIN ANDERER AUS DER GESELLSCHAFT;PIRZEL;1
EIN ANDERER AUS DER GESELLSCHAFT;EINER AUS DER GESELLSCHAFT;1
EIN ANDERER AUS DER GESELLSCHAFT;EINER;1
EIN ANDERER AUS DER GESELLSCHAFT;RAMMLER;1
EIN ANDERER AUS DER GESELLSCHAFT;EINER AUS DEM HAUFEN;1
EIN ANDERER AUS DER GESELLSCHAFT;RAMMLEER;1
EIN ANDERER AUS DER GESELLSCHAFT;EIN ANDRER;1
EINER;STOLZIUS;1
EINER;HAUDY;1
EINER;EISENHARDT;1
EINER;MARY;1
EINER;PIRZEL;1
EINER;EINER AUS DER GESELLSCHAFT;1
EINER;RAMMLER;1
EINER;EINER AUS DEM HAUFEN;1
EINER;RAMMLEER;1
RAMMLER;STOLZIUS;2
EINER AUS DEM HAUFEN;STOLZIUS;1
EINER AUS DEM HAUFEN;HAUDY;1
EINER AUS DEM HAUFEN;EISENHARDT;1
EINER AUS DEM HAUFEN;MARY;1
EINER AUS DEM HAUFEN;PIRZEL;1
EINER AUS DEM HAUFEN;EINER AUS DER GESELLSCHAFT;1
EINER AUS DEM HAUFEN;RAMMLER;1
EINER AUS DEM HAUFEN;RAMMLEER;1
RAMMLEER;STOLZIUS;1
RAMMLEER;RAMMLER;1
EIN ANDRER;STOLZIUS;1
EIN ANDRER;HAUDY;1
EIN ANDRER;EISENHARDT;1
EIN ANDRER;MARY;1
EIN ANDRER;PIRZEL;1
EIN ANDRER;EINER AUS DER GESELLSCHAFT;1
EIN ANDRER;EINER;1
EIN ANDRER;RAMMLER;1
EIN ANDRER;EINER AUS DEM HAUFEN;1
EIN ANDRER;RAMMLEER;1
ALLE;STOLZIUS;2
ALLE;DESPORTES;1
ALLE;HAUDY;2
ALLE;EISENHARDT;1
ALLE;MARY;2
ALLE;PIRZEL;1
ALLE;EINER AUS DER GESELLSCHAFT;1
ALLE;EIN ANDERER AUS DER GESELLSCHAFT;1
ALLE;EINER;1
ALLE;RAMMLER;2
ALLE;EINER AUS DEM HAUFEN;1
ALLE;RAMMLEER;1
ALLE;EIN ANDRER;1
ALLE;MADEMOISELLE BISCHOF;1
ALLE;MADAME BISCHOF;1
ALLE;GILBERT;1
ALLE;ALLE OFFIZIERS;1
JUNGFER ZIPFERSAAT;MARIANE;2
JUNGFER ZIPFERSAAT;WESENER;2
JUNGFER ZIPFERSAAT;WESENERS ALTE MUTTER;1
JUNGFER ZIPFERSAAT;MAGD;1
AARON;HAUDY;1
AARON;MARY;1
AARON;RAMMLER;1
MAGD;MARIANE;1
MAGD;WESENER;1
JUNGER ZIPFERSAAT;MARIANE;1
JUNGER ZIPFERSAAT;WESENER;1
JUNGER ZIPFERSAAT;JUNGFER ZIPFERSAAT;1
JUNGER ZIPFERSAAT;MAGD;1
FRAU WESENERN;MARIANE;1
FRAU WESENERN;MARY;1
FRAU WESENERN;LOTTE;1
FRAU WESENER;MARIANE;2
FRAU WESENER;MARY;1
FRAU WESENER;FRAU WESENERN;1
FRAU WESENER;LOTTE;1
LOTTE;MARIANE;1
LOTTE;MARY;1
GRÄFIN;OBRIST;1
GRÄFIN;MARIANE;2
GRÄFIN;OBRISTER;1
GRÄFIN;MARY;1
GRÄFIN;JUNGER GRAF;1
GRÄFIN;MARYS STIMME;1
GRÄFIN;MARIANENS STIMME;1
GRÄFIN;OBRISTE;1
BEDIENTER;MARIANE;1
BEDIENTER;FRAU WESENER;1
BEDIENTER;GRÄFIN;1
BEDIENTER;JUNGER GRAF;1
MARIANENS STIMME;MARY;1
MARIANENS STIMME;MARYS STIMME;1
MADEMOISELLE BISCHOF;STOLZIUS;1
MADEMOISELLE BISCHOF;MARY;1
MADEMOISELLE BISCHOF;RAMMLER;1
MADAME BISCHOF;STOLZIUS;1
MADAME BISCHOF;MARY;1
MADAME BISCHOF;RAMMLER;1
MADAME BISCHOF;MADEMOISELLE BISCHOF;1
GILBERT;STOLZIUS;1
GILBERT;HAUDY;1
GILBERT;MARY;1
GILBERT;RAMMLER;1
GILBERT;MADEMOISELLE BISCHOF;1
GILBERT;MADAME BISCHOF;1
ALLE OFFIZIERS;STOLZIUS;1
ALLE OFFIZIERS;DESPORTES;1
ALLE OFFIZIERS;HAUDY;1
ALLE OFFIZIERS;MARY;1
ALLE OFFIZIERS;RAMMLER;1
ALLE OFFIZIERS;MADEMOISELLE BISCHOF;1
ALLE OFFIZIERS;MADAME BISCHOF;1
ALLE OFFIZIERS;GILBERT;1
DIE WEIBSPERSON;MARIANE;1
DIE WEIBSPERSON;WESENER;1
DIE WEIBSPERSON;WEIBSPERSON;1
WEIBSPERSON;WESENER;1
