MADAME WELLDORF;WACHE;1
MADAME WELLDORF;SOPHIE;2
MADAME WELLDORF;VON BRINK;6
MADAME WELLDORF;MADAME WELLDORF UND LUISE;2
MADAME WELLDORF;WELLDORF;2
MADAME WELLDORF;SERGEANT;1
LUISE;WACHE;1
LUISE;MADAME WELLDORF;14
LUISE;VON BRINK;6
LUISE;MADAME WELLDORF UND LUISE;2
LUISE;WELLDORF;2
LUISE;SERGEANT;1
EDUARD;WACHE;1
EDUARD;MADAME WELLDORF;12
EDUARD;LUISE;13
EDUARD;VON BRINK;3
EDUARD;MADAME WELLDORF UND LUISE;2
EDUARD;WELLDORF;2
EDUARD;SERGEANT;1
DER ARZT;MADAME WELLDORF;2
DER ARZT;SOPHIE;1
DER ARZT;LUISE;2
DER ARZT;VON BRINK;1
MADAME WELLDORF UND LUISE;VON BRINK;1
MADAME WELLDORF UND LUISE;WELLDORF;1
DER BEDIENTE;LUISE;1
DER BEDIENTE;EDUARD;1
BEDIENTER;LUISE;1
BEDIENTER;EDUARD;1
BEDIENTER;DER BEDIENTE;1
DER OBERST;MADAME WELLDORF;2
DER OBERST;LUISE;3
DER OBERST;EDUARD;1
DER OBERST;VON BRINK;4
DER OBERST;MADAME WELLDORF UND LUISE;1
DER OBERST;WELLDORF;1
SERGEANT;WACHE;1
