HERRNSTADT UND VON DER WART;THEOBALD;1
HERRNSTADT UND VON DER WART;KÄTHCHEN;1
HERRNSTADT UND VON DER WART;KUNIGUNDE;1
HERRNSTADT UND VON DER WART;VOLK;1
HERRNSTADT UND VON DER WART;RITTER FLAMMBERG UND GOTTSCHALK;1
GRAF OTTO;HERRNSTADT UND VON DER WART;1
GRAF OTTO;THEOBALD FRIEDEBORN;1
GRAF OTTO;THEOBALD;6
GRAF OTTO;WENZEL;2
GRAF OTTO;HANS;2
GRAF OTTO;KÄTHCHEN;4
GRAF OTTO;ZWEITER RICHTER;1
GRAF OTTO;KUNIGUNDE;1
GRAF OTTO;VOLK;2
GRAF OTTO;RITTER FLAMMBERG UND GOTTSCHALK;1
THEOBALD FRIEDEBORN;WENZEL;1
THEOBALD;THEOBALD FRIEDEBORN;1
THEOBALD;WENZEL;2
THEOBALD;ZWEITER RICHTER;1
THEOBALD;VOLK;2
WENZEL;ZWEITER RICHTER;1
HANS;THEOBALD FRIEDEBORN;1
HANS;THEOBALD;2
HANS;WENZEL;2
HANS;KÄTHCHEN;1
HANS;ZWEITER RICHTER;1
DER GRAF VOM STRAHL;HERRNSTADT UND VON DER WART;1
DER GRAF VOM STRAHL;GRAF OTTO;5
DER GRAF VOM STRAHL;THEOBALD FRIEDEBORN;1
DER GRAF VOM STRAHL;THEOBALD;5
DER GRAF VOM STRAHL;WENZEL;2
DER GRAF VOM STRAHL;HANS;2
DER GRAF VOM STRAHL;KÄTHCHEN;13
DER GRAF VOM STRAHL;ERSTER RICHTER;1
DER GRAF VOM STRAHL;ZWEITER RICHTER;1
DER GRAF VOM STRAHL;EIN RICHTER;1
DER GRAF VOM STRAHL;DIE RICHTER;1
DER GRAF VOM STRAHL;GOTTSCHALK;10
DER GRAF VOM STRAHL;FLAMMBERG;7
DER GRAF VOM STRAHL;FREIBURG;4
DER GRAF VOM STRAHL;GEORG;2
DER GRAF VOM STRAHL;SCHAUERMANN;2
DER GRAF VOM STRAHL;WETZLAF;1
DER GRAF VOM STRAHL;KÖHLERJUNGE;1
DER GRAF VOM STRAHL;KUNIGUNDE;11
