CHOR DER JÄGER;KÖNIG;1
CHOR DER JÄGER;LYSIART;1
CHOR DER JÄGER;EGLANTINE;1
CHOR DER FRAUEN;CHOR DER RITTER;1
CHOR DER FRAUEN;KÖNIG;1
CHOR DER FRAUEN;LYSIART;1
CHOR DER RITTER;KÖNIG;1
CHOR DER RITTER;LYSIART;2
CHOR DER RITTER;EURYANTHE;1
CHOR DER RITTER;EGLANTINE;1
CHOR DER RITTER;RUDOLF;1
ALLE;CHOR DER FRAUEN;1
ALLE;CHOR DER RITTER;1
ALLE;KÖNIG;2
ALLE;LYSIART;2
ALLE;CHOR;2
ALLE;EURYANTHE;1
ALLE;BERTHA;1
ALLE;DIE LANDLEUTE;1
ALLE;BERTHA UND CHOR;1
KÖNIG;LYSIART;4
KÖNIG;LYSIARD;1
KÖNIG;KÖNIG UND CHOR;2
ADOLAR;CHOR DER JÄGER;1
ADOLAR;CHOR DER FRAUEN;1
ADOLAR;CHOR DER RITTER;1
ADOLAR;ALLE;3
ADOLAR;KÖNIG;4
ADOLAR;LYSIART;5
ADOLAR;LYSIARD;1
ADOLAR;KÖNIG UND CHOR;1
ADOLAR;BEIDE;1
ADOLAR;CHOR;6
ADOLAR;EURYANTHE;3
ADOLAR;EGLANTINE;2
ADOLAR;ADOLAR UND KÖNIG;1
ADOLAR;BERTHA;1
ADOLAR;DIE LANDLEUTE;1
ADOLAR;BERTHA UND CHOR;1
ADOLAR;LANDLEUTE;1
ADOLAR;DIE RITTER;1
LYSIART;RUDOLF;1
LYSIARD;LYSIART;1
KÖNIG UND CHOR;LYSIART;1
KÖNIG UND CHOR;LYSIARD;1
BEIDE;KÖNIG;1
BEIDE;LYSIART;2
BEIDE;LYSIARD;1
BEIDE;KÖNIG UND CHOR;1
BEIDE;CHOR;1
BEIDE;EURYANTHE;1
BEIDE;EGLANTINE;2
CHOR;CHOR DER JÄGER;1
CHOR;CHOR DER RITTER;1
CHOR;KÖNIG;5
CHOR;LYSIART;5
CHOR;LYSIARD;1
CHOR;KÖNIG UND CHOR;2
CHOR;EURYANTHE;4
CHOR;EGLANTINE;3
CHOR;CHOR DER LANDLEUTE;1
CHOR;RUDOLF;1
CHOR;DIE LANDLEUTE;1
CHOR;LANDLEUTE;1
CHOR;DIE RITTER;1
EURYANTHE;KÖNIG;3
EURYANTHE;LYSIART;2
EURYANTHE;KÖNIG UND CHOR;1
EURYANTHE;RUDOLF;1
EGLANTINE;KÖNIG;1
EGLANTINE;LYSIART;4
EGLANTINE;EURYANTHE;2
EGLANTINE;RUDOLF;1
EGLANTINE;LANDLEUTE;1
CHOR DER LANDLEUTE;CHOR DER RITTER;2
CHOR DER LANDLEUTE;LYSIART;1
CHOR DER LANDLEUTE;EURYANTHE;1
CHOR DER LANDLEUTE;EGLANTINE;1
CHOR DER LANDLEUTE;RUDOLF;1
ADOLAR UND KÖNIG;ALLE;1
ADOLAR UND KÖNIG;KÖNIG;1
ADOLAR UND KÖNIG;LYSIART;1
ADOLAR UND KÖNIG;CHOR;1
ADOLAR UND KÖNIG;EURYANTHE;1
BERTHA;CHOR;2
BERTHA;DIE LANDLEUTE;1
BERTHA;BERTHA UND CHOR;1
BERTHA UND CHOR;CHOR;1
BERTHA UND CHOR;DIE LANDLEUTE;1
LANDLEUTE;LYSIART;1
DIE RITTER;LYSIART;1
DIE RITTER;EGLANTINE;1
DIE RITTER;LANDLEUTE;1
