ALLE;GABRIELE;1
ALLE;JÄGER;1
ALLE;CHOR DER HIRTEN;1
ALLE;CHOR DER JÄGER;1
ALLE;GABRIELE UND GOMEZ;1
ALLE;OTTO;1
GABRIELE;GOMEZ;2
GABRIELE;JÄGER;7
GABRIELE;VASCO;3
GABRIELE;PEDRO UND AMBROSIO;2
GABRIELE;PEDRO;1
GABRIELE;GABRIELE UND JÄGER;1
GABRIELE;JÄGER UND CHOR;1
GABRIELE;GABRIELE UND CHOR;1
GABRIELE;GABRIELE UND CHOR DER HIRTEN;1
GABRIELE;GABRIELE UND GOMEZ;2
GABRIELE;OTTO;1
GOMEZ;JÄGER;1
GOMEZ;OTTO UND CHOR DER JÄGER;1
BEIDE;GABRIELE;1
BEIDE;GOMEZ;1
JÄGER;VASCO;4
JÄGER;PEDRO UND AMBROSIO;2
JÄGER;PEDRO;2
JÄGER;JÄGER UND CHOR;1
JÄGER;OTTO;1
PEDRO UND AMBROSIO;VASCO;2
DIE DREI HIRTEN;GABRIELE;1
DIE DREI HIRTEN;JÄGER;2
DIE DREI HIRTEN;VASCO;2
DIE DREI HIRTEN;PEDRO UND AMBROSIO;1
DIE DREI HIRTEN;PEDRO;2
DIE DREI HIRTEN;GABRIELE UND JÄGER;1
PEDRO;VASCO;2
PEDRO;PEDRO UND AMBROSIO;1
AMBROSIO;GABRIELE;2
AMBROSIO;JÄGER;3
AMBROSIO;VASCO;3
AMBROSIO;PEDRO UND AMBROSIO;2
AMBROSIO;DIE DREI HIRTEN;2
AMBROSIO;PEDRO;2
AMBROSIO;AMBROSIO UND PEDRO;3
AMBROSIO;GABRIELE UND JÄGER;1
AMBROSIO;CHOR DER HIRTEN;1
AMBROSIO;JÄGER UND CHOR;1
AMBROSIO;GABRIELE UND CHOR;1
AMBROSIO;GABRIELE UND CHOR DER HIRTEN;1
AMBROSIO UND PEDRO;GABRIELE;2
AMBROSIO UND PEDRO;JÄGER;3
AMBROSIO UND PEDRO;VASCO;3
AMBROSIO UND PEDRO;PEDRO UND AMBROSIO;2
AMBROSIO UND PEDRO;DIE DREI HIRTEN;2
AMBROSIO UND PEDRO;PEDRO;2
AMBROSIO UND PEDRO;GABRIELE UND JÄGER;1
AMBROSIO UND PEDRO;CHOR DER HIRTEN;1
AMBROSIO UND PEDRO;JÄGER UND CHOR;1
AMBROSIO UND PEDRO;GABRIELE UND CHOR;1
AMBROSIO UND PEDRO;GABRIELE UND CHOR DER HIRTEN;1
GABRIELE UND JÄGER;JÄGER;1
GABRIELE UND JÄGER;VASCO;1
GABRIELE UND JÄGER;PEDRO UND AMBROSIO;1
GABRIELE UND JÄGER;PEDRO;1
CHOR DER HIRTEN;GABRIELE;3
CHOR DER HIRTEN;GOMEZ;1
CHOR DER HIRTEN;JÄGER;3
CHOR DER HIRTEN;VASCO;1
CHOR DER HIRTEN;PEDRO UND AMBROSIO;1
CHOR DER HIRTEN;JÄGER UND CHOR;1
CHOR DER HIRTEN;GABRIELE UND CHOR;1
CHOR DER HIRTEN;GABRIELE UND CHOR DER HIRTEN;1
CHOR DER HIRTEN;CHOR DER JÄGER;2
CHOR DER HIRTEN;GABRIELE UND GOMEZ;2
CHOR DER HIRTEN;OTTO;1
JÄGER UND CHOR;VASCO;1
JÄGER UND CHOR;PEDRO UND AMBROSIO;1
GABRIELE UND CHOR;JÄGER;1
GABRIELE UND CHOR;VASCO;1
GABRIELE UND CHOR;PEDRO UND AMBROSIO;1
GABRIELE UND CHOR;JÄGER UND CHOR;1
GABRIELE UND CHOR;GABRIELE UND CHOR DER HIRTEN;1
GABRIELE UND CHOR DER HIRTEN;JÄGER;1
GABRIELE UND CHOR DER HIRTEN;VASCO;1
GABRIELE UND CHOR DER HIRTEN;PEDRO UND AMBROSIO;1
GABRIELE UND CHOR DER HIRTEN;JÄGER UND CHOR;1
?;GABRIELE;1
?;JÄGER;1
?;VASCO;1
?;PEDRO UND AMBROSIO;1
?;AMBROSIO;1
?;AMBROSIO UND PEDRO;1
?;CHOR DER HIRTEN;1
?;JÄGER UND CHOR;1
?;GABRIELE UND CHOR;1
?;GABRIELE UND CHOR DER HIRTEN;1
CHOR DER JÄGER;GABRIELE;2
CHOR DER JÄGER;GOMEZ;1
CHOR DER JÄGER;JÄGER;2
CHOR DER JÄGER;GABRIELE UND GOMEZ;2
CHOR DER JÄGER;OTTO;1
GABRIELE UND GOMEZ;GOMEZ;1
GABRIELE UND GOMEZ;JÄGER;2
GABRIELE UND GOMEZ;OTTO;1
