KOMMERZIENRATH UND HERR VON KIEL;LANDRATH;1
KOMMERZIENRATH UND HERR VON KIEL;MARTIN;1
LANDRATH;MARTIN;4
LANDRATH;REITKNECHT;1
ERNESTINE;KOMMERZIENRATH UND HERR VON KIEL;1
ERNESTINE;LANDRATH;13
ERNESTINE;HERR VON KIEL;9
ERNESTINE;KOMMERZIENRATH;6
ERNESTINE;MARTIN;2
ERNESTINE;HERR;1
HERR VON KIEL;KOMMERZIENRATH UND HERR VON KIEL;1
HERR VON KIEL;LANDRATH;12
HERR VON KIEL;KOMMERZIENRATH;6
HERR VON KIEL;MARTIN;3
ELISE;KOMMERZIENRATH UND HERR VON KIEL;1
ELISE;LANDRATH;13
ELISE;ERNESTINE;10
ELISE;HERR VON KIEL;12
ELISE;KOMMERZIENRATH;7
ELISE;MARTIN;3
ELISE;HERR;1
KOMMERZIENRATH;KOMMERZIENRATH UND HERR VON KIEL;1
KOMMERZIENRATH;LANDRATH;5
KOMMERZIENRATH;MARTIN;4
ALLE;LANDRATH;1
ALLE;ERNESTINE;1
ALLE;HERR VON KIEL;1
ALLE;ELISE;1
ALLE;KOMMERZIENRATH;1
HERR;LANDRATH;1
HERR;HERR VON KIEL;1
HERR;KOMMERZIENRATH;1
HERR;MARTIN;1
?;LANDRATH;1
?;HERR VON KIEL;1
?;ELISE;1
BAUER;LANDRATH;2
BAUER;ELISE;1
BAUER;MARTIN;2
