DAS LIED VEREINIGTER HEERSCHAREN;DIE STIMME DES HEILIGEN ENGEL;1
DAS LIED VEREINIGTER HEERSCHAREN;DER HEILIGE ENGEL;1
DAS LIED VEREINIGTER HEERSCHAREN;DIE STIMME DES HEILIGEN ERZENGELS MICHAEL;1
DER HEILIGE;PIETRO;1
DER HEILIGE;PAPST;1
DER HEILIGE;KARDINAL;1
DER HEILIGE;EIN KARDINAL;1
DER HEILIGE;KARDINAL JOHANNES VON PAUL;1
DER HEILIGE;DER HEILIGE VATER;1
BISCHOF;PIETRO;1
BISCHOF;DER HEILIGE;1
KARDINAL;PAPST;1
KARDINAL;KARDINAL JOHANNES VON PAUL;1
EIN KARDINAL;PAPST;1
EIN KARDINAL;KARDINAL;1
EIN KARDINAL;KARDINAL JOHANNES VON PAUL;1
KARDINAL JOHANNES VON PAUL;PAPST;1
DER BRUDER LEO;DER HEILIGE;3
DER BRUDER LEO;DER BRUDER MASSEO;1
DER BRUDER LEO;DIE KNIENDEN BRÜDER;1
ALLE;DER HEILIGE;1
ALLE;DER BRUDER LEO;2
ALLE;DER BRUDER GINEPRO;2
ALLE;DER BRUDER BERNHARD;1
ALLE;DER BRUDER MASSEO;1
ALLE;ALLE BRÜDER;1
ALLE;DER BRUDER EGIDIO;1
ALLE;DER BRUDER ANTONIO;1
ALLE;DIE KNIENDEN BRÜDER;1
DER BRUDER GINEPRO;DER HEILIGE;1
DER BRUDER GINEPRO;DER BRUDER LEO;2
DER BRUDER GINEPRO;DER BRUDER MASSEO;1
DER BRUDER GINEPRO;DIE KNIENDEN BRÜDER;1
DER BRUDER BERNHARD;DER BRUDER LEO;1
DER BRUDER BERNHARD;DER BRUDER GINEPRO;1
DER BRUDER BERNHARD;DER BRUDER MASSEO;1
DER BRUDER BERNHARD;DER BRUDER EGIDIO;1
DER BRUDER BERNHARD;DIE KNIENDEN BRÜDER;1
DER BRUDER MASSEO;DIE KNIENDEN BRÜDER;1
ALLE BRÜDER;DER BRUDER LEO;1
ALLE BRÜDER;DER BRUDER GINEPRO;1
ALLE BRÜDER;DER BRUDER BERNHARD;1
ALLE BRÜDER;DER BRUDER MASSEO;1
ALLE BRÜDER;DER BRUDER EGIDIO;1
ALLE BRÜDER;DER BRUDER ANTONIO;1
ALLE BRÜDER;DIE KNIENDEN BRÜDER;1
DER BRUDER EGIDIO;DER BRUDER LEO;1
DER BRUDER EGIDIO;DER BRUDER GINEPRO;1
DER BRUDER EGIDIO;DER BRUDER MASSEO;1
DER BRUDER EGIDIO;DIE KNIENDEN BRÜDER;1
DER BRUDER ANTONIO;DER BRUDER LEO;1
DER BRUDER ANTONIO;DER BRUDER GINEPRO;1
DER BRUDER ANTONIO;DER BRUDER BERNHARD;1
DER BRUDER ANTONIO;DER BRUDER MASSEO;1
DER BRUDER ANTONIO;DER BRUDER EGIDIO;1
DER BRUDER ANTONIO;DIE KNIENDEN BRÜDER;1
BRUDER JOHANNES;DER BRUDER MARTIN;1
BRUDER JOHANNES;BRUDER THADDÄUS;2
BRUDER JOHANNES;BRUDER PETER;1
BRUDER JOHANNES;CHORUS DER BRÜDER;1
BRUDER JOHANNES;ERSTE HÄLFTE;1
BRUDER JOHANNES;ZWEITE HÄLFTE;1
BRUDER JOHANNES;CHORUS GESAMT;1
BRUDER JOHANNES;DER MÖNCH LUTHER;2
BRUDER JOHANNES;LUTHER;2
BRUDER JOHANNES;JOHANNES;1
BRUDER JOHANNES;DER BRUDER JOHANNES;1
BRUDER JOHANNES;DER BRUDER THADDÄUS;1
BRUDER JOHANNES;BRÜDER THADDÄUS;1
BRUDER JOHANNES;RUFE;1
BRUDER JOHANNES;DER MÖNCH;1
BRUDER JOHANNES;DAS VOLK;1
DER BRUDER MARTIN;ERSTE HÄLFTE;1
DER BRUDER MARTIN;ZWEITE HÄLFTE;1
DER BRUDER MARTIN;DER MÖNCH LUTHER;1
BRUDER THADDÄUS;DER BRUDER MARTIN;1
BRUDER THADDÄUS;CHORUS DER BRÜDER;1
BRUDER THADDÄUS;ERSTE HÄLFTE;1
BRUDER THADDÄUS;ZWEITE HÄLFTE;1
BRUDER THADDÄUS;CHORUS GESAMT;1
BRUDER THADDÄUS;DER MÖNCH LUTHER;1
BRUDER THADDÄUS;LUTHER;1
BRUDER THADDÄUS;DER BRUDER JOHANNES;1
BRUDER THADDÄUS;DER BRUDER THADDÄUS;1
BRUDER THADDÄUS;BRÜDER THADDÄUS;1
BRUDER THADDÄUS;RUFE;1
BRUDER THADDÄUS;DER MÖNCH;1
BRUDER THADDÄUS;DAS VOLK;1
BRUDER PETER;DER BRUDER MARTIN;1
BRUDER PETER;BRUDER THADDÄUS;1
BRUDER PETER;CHORUS DER BRÜDER;1
BRUDER PETER;ERSTE HÄLFTE;1
BRUDER PETER;ZWEITE HÄLFTE;1
BRUDER PETER;CHORUS GESAMT;1
BRUDER PETER;DER MÖNCH LUTHER;1
CHORUS DER BRÜDER;DER BRUDER MARTIN;1
CHORUS DER BRÜDER;ERSTE HÄLFTE;1
CHORUS DER BRÜDER;ZWEITE HÄLFTE;1
CHORUS DER BRÜDER;CHORUS GESAMT;1
CHORUS DER BRÜDER;DER MÖNCH LUTHER;1
ERSTE HÄLFTE;ZWEITE HÄLFTE;1
CHORUS GESAMT;DER BRUDER MARTIN;1
CHORUS GESAMT;ERSTE HÄLFTE;1
CHORUS GESAMT;ZWEITE HÄLFTE;1
CHORUS GESAMT;DER MÖNCH LUTHER;1
DER MÖNCH LUTHER;ERSTE HÄLFTE;1
DER MÖNCH LUTHER;ZWEITE HÄLFTE;1
DER MÖNCH LUTHER;LUTHER;1
DER MÖNCH LUTHER;JOHANNES;1
LUTHER;RUFE;1
LUTHER;ZWEITE GESTALT;1
LUTHER;VIERTE GESTALT;1
LUTHER;RECHTER CHOR VOLK;1
LUTHER;STIMMEN LINKS;1
LUTHER;RUFE RECHTS;1
LUTHER;VON DEN STEHENDEN RECHTS;1
LUTHER;VON DEN STEHENDEN LINKS;1
LUTHER;WEIB;1
LUTHER;LUTHERS STIMME;1
LUTHER;RUF RECHTS;1
LUTHER;MEHRERE RUFE LINKS;1
JOHANNES;LUTHER;1
DER BÖSE;LUTHER;1
DER BRUDER JOHANNES;LUTHER;1
DER BRUDER JOHANNES;DER BRUDER THADDÄUS;1
DER BRUDER JOHANNES;RUFE;1
DER BRUDER JOHANNES;DER MÖNCH;1
DER BRUDER THADDÄUS;LUTHER;1
DER BRUDER THADDÄUS;RUFE;1
DER BRUDER THADDÄUS;DER MÖNCH;1
BRÜDER THADDÄUS;LUTHER;1
BRÜDER THADDÄUS;DER BRUDER JOHANNES;1
BRÜDER THADDÄUS;DER BRUDER THADDÄUS;1
BRÜDER THADDÄUS;RUFE;1
BRÜDER THADDÄUS;DER MÖNCH;1
BRÜDER THADDÄUS;DAS VOLK;1
DER MÖNCH;LUTHER;2
DER MÖNCH;RUFE;1
DER MÖNCH;GESTALT;1
DER MÖNCH;ZWEITE GESTALT;1
DER MÖNCH;EINE DRITTE, VIERTE UND FÜNFTE GESTALT;1
DER MÖNCH;FÜNFTE GESTALT;1
DER MÖNCH;VIERTE GESTALT;1
DER MÖNCH;DRITTE GESTALT;1
DER MÖNCH;ERSTE GESTALT;1
DER MÖNCH;DIE NONNE;1
DER MÖNCH;FÜNFTER TEUFEL;1
DER MÖNCH;ERSTER UND VIERTER TEUFEL;1
DER MÖNCH;DRITTER TEUFEL;1
DAS VOLK;LUTHER;2
DAS VOLK;DER BRUDER JOHANNES;1
DAS VOLK;DER BRUDER THADDÄUS;1
DAS VOLK;RUFE;1
DAS VOLK;DER MÖNCH;1
