DER GRAF;DER WIRT;1
DER GRAF;VON TELLHEIM;1
JUST;VON TELLHEIM;6
JUST;WERNER;1
DER WIRT;JUST;3
DER WIRT;VON TELLHEIM;3
DER WIRT;WERNER;1
DER WIRT;FRANZISKA;7
VON TELLHEIM;WERNER;6
DIE DAME;VON TELLHEIM;2
DER BEDIENTE;JUST;1
DER BEDIENTE;VON TELLHEIM;1
DAS FRÄULEIN;DER GRAF;1
DAS FRÄULEIN;JUST;2
DAS FRÄULEIN;DER WIRT;6
DAS FRÄULEIN;VON TELLHEIM;11
DAS FRÄULEIN;WERNER;2
DAS FRÄULEIN;FRANZISKA;22
DAS FRÄULEIN;RICCAUT;1
DAS FRÄULEIN;DER FELDJÄGER;1
DAS FRÄULEIN;DER EINE BEDIENTE;1
DAS FRÄULEIN;DER ANDERE BEDIENTE;1
FRANZISKA;JUST;3
FRANZISKA;VON TELLHEIM;11
FRANZISKA;WERNER;7
FRANZISKA;RICCAUT;1
DER FELDJÄGER;VON TELLHEIM;1
DER FELDJÄGER;FRANZISKA;1
DER EINE BEDIENTE;VON TELLHEIM;1
DER EINE BEDIENTE;FRANZISKA;1
DER ANDERE BEDIENTE;VON TELLHEIM;1
DER ANDERE BEDIENTE;FRANZISKA;1
DER ANDERE BEDIENTE;DER EINE BEDIENTE;1
