ALLE BAUREN;RÖSCHEN;1
ALLE BAUREN;MARTHE;1
ALLE BAUREN;MICHEL;2
ALLE BAUREN;TÖFFEL;2
ALLE BAUREN;HANNCHEN;1
ALLE BAUREN;CHRISTEL;1
ALLE BAUREN;DER KÖNIG;1
ALLE BAUREN;GRAF VON SCHMETTERLING;1
ALLE BAUREN;VON TREUWERTH;1
RÖSCHEN;TÖFFEL;9
RÖSCHEN;VON TREUWERTH;1
MARTHE;RÖSCHEN;14
MARTHE;MICHEL;10
MARTHE;TÖFFEL;7
MARTHE;VON TREUWERTH;1
MICHEL;RÖSCHEN;11
MICHEL;TÖFFEL;6
MICHEL;VON TREUWERTH;1
TÖFFEL;VON TREUWERTH;1
HANNCHEN;RÖSCHEN;5
HANNCHEN;MARTHE;2
HANNCHEN;MICHEL;3
HANNCHEN;TÖFFEL;4
HANNCHEN;VON TREUWERTH;1
GÜRGE;TÖFFEL;1
GÜRGE;QUAAS;1
QUAAS;TÖFFEL;1
CHRISTEL;RÖSCHEN;9
CHRISTEL;MARTHE;6
CHRISTEL;MICHEL;7
CHRISTEL;TÖFFEL;3
CHRISTEL;HANNCHEN;6
CHRISTEL;DER KÖNIG;5
CHRISTEL;GRAF VON SCHMETTERLING;1
CHRISTEL;VON TREUWERTH;1
DER KÖNIG;RÖSCHEN;7
DER KÖNIG;MARTHE;5
DER KÖNIG;MICHEL;10
DER KÖNIG;TÖFFEL;2
DER KÖNIG;HANNCHEN;2
DER KÖNIG;DER ZWEYTE;1
DER KÖNIG;GRAF VON SCHMETTERLING;1
DER KÖNIG;VON TREUWERTH;1
DER ERSTE;DER KÖNIG;1
DER ERSTE;DER ZWEYTE;1
CHOR;RÖSCHEN;2
CHOR;MARTHE;2
CHOR;MICHEL;2
CHOR;TÖFFEL;1
CHOR;HANNCHEN;1
CHOR;CHRISTEL;2
CHOR;DER KÖNIG;1
GRAF VON SCHMETTERLING;RÖSCHEN;1
GRAF VON SCHMETTERLING;MARTHE;1
GRAF VON SCHMETTERLING;MICHEL;1
GRAF VON SCHMETTERLING;TÖFFEL;1
GRAF VON SCHMETTERLING;HANNCHEN;1
GRAF VON SCHMETTERLING;VON TREUWERTH;1
