EIN DRITTER;EINSIEDLER;1
EIN DRITTER;SATYROS;1
EIN DRITTER;PSYCHE;1
EIN DRITTER;HERMES;1
EIN DRITTER;EUDORA;1
EIN DRITTER;EINER AUS DEM VOLK;1
EINSIEDLER;SATYROS;3
EINSIEDLER;PSYCHE;2
EINSIEDLER;HERMES;2
EINSIEDLER;EUDORA;1
ARSINOE;SATYROS;1
ARSINOE;PSYCHE;1
ARSINOE;HERMES;1
ARSINOE;DAS VOLK;1
ARSINOE;EINER AUS DEM VOLK;1
ARSINOE;EIN ANDERER;1
PSYCHE;SATYROS;3
HERMES;SATYROS;3
HERMES;PSYCHE;3
EUDORA;SATYROS;1
EUDORA;PSYCHE;1
EUDORA;HERMES;1
DAS VOLK;EIN DRITTER;1
DAS VOLK;EINSIEDLER;2
DAS VOLK;SATYROS;3
DAS VOLK;PSYCHE;3
DAS VOLK;HERMES;3
DAS VOLK;EUDORA;1
DAS VOLK;EINER AUS DEM VOLK;3
DAS VOLK;EIN ANDERER;3
EINER AUS DEM VOLK;EINSIEDLER;2
EINER AUS DEM VOLK;SATYROS;3
EINER AUS DEM VOLK;PSYCHE;3
EINER AUS DEM VOLK;HERMES;3
EINER AUS DEM VOLK;EUDORA;1
EIN ANDERER;EIN DRITTER;1
EIN ANDERER;EINSIEDLER;2
EIN ANDERER;SATYROS;3
EIN ANDERER;PSYCHE;3
EIN ANDERER;HERMES;3
EIN ANDERER;EUDORA;1
EIN ANDERER;EINER AUS DEM VOLK;3
