DER GRAF VON HOHENZOLLERN;STRANZ;1
DER GRAF VON HOHENZOLLERN;DER KURFÜRST;7
DER GRAF VON HOHENZOLLERN;DIE KURFÜRSTIN;2
DER GRAF VON HOHENZOLLERN;PRINZESSIN NATALIE;4
DER GRAF VON HOHENZOLLERN;EIN HOFKAVALIER;2
DER GRAF VON HOHENZOLLERN;DER PRINZ VON HOMBURG;10
DER GRAF VON HOHENZOLLERN;DER PAGE;1
DER GRAF VON HOHENZOLLERN;FELDMARSCHALL DÖRFLING;4
DER GRAF VON HOHENZOLLERN;OBERST HENNINGS;2
DER GRAF VON HOHENZOLLERN;GRAF TRUCHSS;7
DER GRAF VON HOHENZOLLERN;EIN HEIDUCK 2.2;1
DER GRAF VON HOHENZOLLERN;RITTMEISTER VON DER GOLZ;5
DER GRAF VON HOHENZOLLERN;EIN REITKNECHT;1
DER GRAF VON HOHENZOLLERN;OBRIST KOTTWITZ;6
DER GRAF VON HOHENZOLLERN;ERSTER OFFIZIER;4
DER GRAF VON HOHENZOLLERN;ZWEITER OFFIZIER;1
DER GRAF VON HOHENZOLLERN;DRITTER OFFIZIER;1
DER GRAF VON HOHENZOLLERN;REUTER;1
DER GRAF VON HOHENZOLLERN;OFFIZIER;2
DER KURFÜRST;STRANZ;1
DER KURFÜRST;DIE KURFÜRSTIN;2
DER KURFÜRST;PRINZESSIN NATALIE;4
DER KURFÜRST;EIN HOFKAVALIER;2
DER KURFÜRST;DER PRINZ VON HOMBURG;5
DER KURFÜRST;FELDMARSCHALL DÖRFLING;6
DER KURFÜRST;OBERST HENNINGS;2
DER KURFÜRST;GRAF TRUCHSS;9
DER KURFÜRST;EIN HEIDUCK 2.2;1
DER KURFÜRST;RITTMEISTER VON DER GOLZ;3
DER KURFÜRST;EIN REITKNECHT;1
DER KURFÜRST;OBRIST KOTTWITZ;5
DER KURFÜRST;ERSTER OFFIZIER;2
DER KURFÜRST;ERSTER BEDIENTER;1
DER KURFÜRST;ERSTER HEIDUCK;1
DER KURFÜRST;ZWEITER HEIDUCK;1
DER KURFÜRST;OFFIZIER;3
DIE KURFÜRSTIN;PRINZESSIN NATALIE;7
DIE KURFÜRSTIN;EIN HOFKAVALIER;2
DIE KURFÜRSTIN;FELDMARSCHALL DÖRFLING;1
DIE KURFÜRSTIN;OBERST HENNINGS;1
DIE KURFÜRSTIN;GRAF TRUCHSS;1
DIE KURFÜRSTIN;EIN HEIDUCK 2.2;1
DIE KURFÜRSTIN;RITTMEISTER VON DER GOLZ;1
DIE KURFÜRSTIN;EIN REITKNECHT;1
DIE KURFÜRSTIN;MÖRNER;1
DIE KURFÜRSTIN;ERSTE HOFDAME;4
DIE KURFÜRSTIN;WACHTMEISTER;1
DIE KURFÜRSTIN;GRAF SPARREN;1
PRINZESSIN NATALIE;STRANZ;1
PRINZESSIN NATALIE;RITTMEISTER VON DER GOLZ;1
PRINZESSIN NATALIE;WACHTMEISTER;2
EIN HOFKAVALIER;PRINZESSIN NATALIE;2
EIN HOFKAVALIER;FELDMARSCHALL DÖRFLING;1
EIN HOFKAVALIER;OBERST HENNINGS;1
EIN HOFKAVALIER;GRAF TRUCHSS;1
EIN HOFKAVALIER;RITTMEISTER VON DER GOLZ;1
EIN HOFKAVALIER;EIN REITKNECHT;1
