DIE BERGKNAPPEN;EULENSPIEGEL;2
DIE BERGKNAPPEN;MICHEL MICHAEL;2
DIE BERGKNAPPEN;LISE;2
DIE BERGKNAPPEN;DIE FRAU BÜRGERMEISTERIN;2
DIE BERGKNAPPEN;SPRECHGESANG;1
DIE BERGKNAPPEN;DUMPFE STIMMEN IM HINTERGRUND;1
DIE BERGKNAPPEN;DIE KOBOLDE;2
DIE BERGKNAPPEN;DIE HEIZER;1
DIE BERGKNAPPEN;ERSTER KOBOLD;2
DIE BERGKNAPPEN;ZWEITER KOBOLD;2
DIE BERGKNAPPEN;DRITTER KOBOLD;2
DIE BERGKNAPPEN;EINE DAME;1
DIE BERGKNAPPEN;DIE HERREN;1
DIE BERGKNAPPEN;DIE DAMEN;1
DIE BERGKNAPPEN;DIE POLIZISTEN;1
DIE BERGKNAPPEN;IMMER MEHR STIMMEN VON DRAUßEN HER;1
EULENSPIEGEL;VIERSTIMMIGER GESANG MIT LAUTENSPIEL;1
EULENSPIEGEL;MICHEL MICHAEL;5
EULENSPIEGEL;LISE;4
EULENSPIEGEL;SPRECHGESANG;1
EULENSPIEGEL;FRAU VENUS;1
EULENSPIEGEL;ZWEITER KOBOLD;2
EULENSPIEGEL;IMMER MEHR STIMMEN VON DRAUßEN HER;1
MICHEL MICHAEL;SPRECHGESANG;1
MICHEL MICHAEL;ZWEITER KOBOLD;2
LISE;MICHEL MICHAEL;4
LISE;SPRECHGESANG;1
LISE;ZWEITER KOBOLD;2
DER ROTE KARL;DIE BERGKNAPPEN;2
DER ROTE KARL;EULENSPIEGEL;4
DER ROTE KARL;MICHEL MICHAEL;4
DER ROTE KARL;LISE;3
DER ROTE KARL;DER SCHWARZE KARL;3
DER ROTE KARL;DIE FRAU BÜRGERMEISTERIN;3
DER ROTE KARL;SPRECHGESANG;1
DER ROTE KARL;DUMPFE STIMMEN IM HINTERGRUND;1
DER ROTE KARL;DIE KOBOLDE;3
DER ROTE KARL;FRAU VENUS;1
DER ROTE KARL;DIE LANDRÄTE;1
DER ROTE KARL;DIE KAPLANE;1
DER ROTE KARL;DIE PASTOREN;1
DER ROTE KARL;DIE BÜRGERMEISTER;1
DER ROTE KARL;DIE HEIZER;2
DER ROTE KARL;DIE BERGLEUTE;1
DER ROTE KARL;EIN BERGMANN;1
DER ROTE KARL;DIE GANZE BANDE;1
DER ROTE KARL;ERSTER KOBOLD;2
DER ROTE KARL;ZWEITER KOBOLD;2
DER ROTE KARL;DRITTER KOBOLD;2
DER ROTE KARL;EINE DAME;1
DER ROTE KARL;DIE HERREN;1
DER ROTE KARL;DIE DAMEN;1
DER ROTE KARL;DIE POLIZISTEN;1
DER ROTE KARL;IMMER MEHR STIMMEN VON DRAUßEN HER;1
