EIN ANDERER STALLMEISTER;EIN STALLMEISTER;1
EIN ANDERER STALLMEISTER;TOBIAS BUNTSCHUH;1
RADIANA;WENDELBORN;2
RADIANA;TOBIAS BUNTSCHUH;3
EIN STALLMEISTER;WENDELBORN;2
EIN STALLMEISTER;EIN ZIRKUSDIENER;1
EIN STALLMEISTER;TOBIAS BUNTSCHUH;1
LUISA;RADIANA;4
LUISA;WENDELBORN;1
VATER BUNTSCHUH;WENDELBORN;1
MUTTER BUNTSCHUH;RADIANA;3
MUTTER BUNTSCHUH;WENDELBORN;3
MUTTER BUNTSCHUH;VATER BUNTSCHUH;3
MUTTER BUNTSCHUH;TOBIAS BUNTSCHUH;5
DIENER FRANZ;WENDELBORN;1
DIENER FRANZ;VATER BUNTSCHUH;3
DIENER FRANZ;MUTTER BUNTSCHUH;5
DIENER FRANZ;PHILIPP WENDELBORN;1
DIENER FRANZ;TOBIAS BUNTSCHUH;2
DER SEKRETÄR;WENDELBORN;1
DER SEKRETÄR;DIENER FRANZ;2
DER SEKRETÄR;PHILIPP WENDELBORN;1
PHILIPP WENDELBORN;WENDELBORN;1
CLOWN ODEBRECHT;EIN ANDERER STALLMEISTER;1
CLOWN ODEBRECHT;RADIANA;3
CLOWN ODEBRECHT;EIN STALLMEISTER;3
CLOWN ODEBRECHT;LUISA;6
CLOWN ODEBRECHT;WENDELBORN;2
CLOWN ODEBRECHT;EIN ZWEITER CLOWN;1
CLOWN ODEBRECHT;DER ARZT;1
CLOWN ODEBRECHT;EIN ZIRKUSDIENER;1
CLOWN ODEBRECHT;TOBIAS BUNTSCHUH;1
CLOWN AMBROIS;RADIANA;1
CLOWN AMBROIS;LUISA;1
CLOWN AMBROIS;CLOWN ODEBRECHT;4
DER HERR;EIN STALLMEISTER;1
DER HERR;DIE DAME;1
DIE DAME;EIN STALLMEISTER;1
DER ARZT;LUISA;1
EIN ZIRKUSDIENER;WENDELBORN;1
TOBIAS BUNTSCHUH;WENDELBORN;8
TOBIAS BUNTSCHUH;VATER BUNTSCHUH;2
