BARJAC;EPINAY;5
BARJAC;GRIMM;6
BARJAC;EPINAY UND BARJAC;1
BARJAC;BARON VON HOLBACH, DORIS QUINAULT UND SAINT-LAMBERT;1
BARJAC;QUINAULT;4
BARJAC;HOLBACH;5
BARJAC;LAMBERT;4
BARJAC;MARQUISE EPINAY;1
BARJAC;DIDEROT;3
BARJAC;BOUFFLERS;2
BARJAC;EPINAY UND QUINAULT;1
BARJAC;LAMBERT UND QUINAULT;1
BARJAC;BARJAC UND QUINAULT;1
BARJAC;GRIMM UND EPINAY;1
BARJAC;DIE ANDEREN;1
EPINAY;GRIMM;7
EPINAY;EPINAY UND BARJAC;1
EPINAY;QUINAULT;2
EPINAY;HOLBACH;4
EPINAY;LAMBERT;2
EPINAY;EPINAY UND QUINAULT;1
EPINAY;GRIMM UND EPINAY;1
EPINAY;TERRAY;1
EPINAY;MAUPEOU;1
EPINAY;SILHOUETTE;1
EPINAY;ERSTER KAVALIER;1
EPINAY;POMPADOUR;2
EPINAY;PAGE;1
GRIMM;QUINAULT;3
GRIMM;HOLBACH;5
GRIMM;LAMBERT;3
GRIMM;LAMBERT UND QUINAULT;1
GRIMM;GRIMM UND EPINAY;1
EPINAY UND BARJAC;GRIMM;1
QUINAULT;ZWEI GARDISTEN;1
HOLBACH;QUINAULT;4
HOLBACH;LAMBERT;4
HOLBACH;MARQUISE EPINAY;1
HOLBACH;LAMBERT UND QUINAULT;1
LAMBERT;ZWEI GARDISTEN;1
LAMBERT;QUINAULT;8
LAMBERT;LAMBERT UND QUINAULT;1
LAMBERT;POMPADOUR;2
BARJAC UND DIENER;EPINAY;1
BARJAC UND DIENER;GRIMM;1
BARJAC UND DIENER;HOLBACH;1
BARJAC UND DIENER;DE BOUFFLERS UND EINIGE AUS DER GESELLSCHAFT;1
DE BOUFFLERS UND EINIGE AUS DER GESELLSCHAFT;EPINAY;1
DE BOUFFLERS UND EINIGE AUS DER GESELLSCHAFT;GRIMM;1
DE BOUFFLERS UND EINIGE AUS DER GESELLSCHAFT;HOLBACH;1
DIDEROT;EPINAY;3
DIDEROT;GRIMM;4
DIDEROT;QUINAULT;3
DIDEROT;HOLBACH;4
DIDEROT;LAMBERT;3
DIDEROT;EPINAY UND QUINAULT;1
DIDEROT;LAMBERT UND QUINAULT;1
DIDEROT;GRIMM UND EPINAY;1
DIDEROT;DIE ANDEREN;1
ALLE;BARJAC;3
ALLE;EPINAY;3
ALLE;GRIMM;3
ALLE;QUINAULT;6
ALLE;HOLBACH;3
ALLE;LAMBERT;6
ALLE;DIDEROT;3
ALLE;BOUFFLERS;4
ALLE;EPINAY UND QUINAULT;1
ALLE;LAMBERT UND QUINAULT;1
ALLE;ALLE ÜBRIGEN;1
ALLE;BARJAC UND QUINAULT;1
ALLE;ALLES;1
ALLE;GRIMM UND EPINAY;1
ALLE;DIE ANDEREN;1
ALLE;DUBARRY;3
ALLE;CHOISEUL;5
ALLE;TERRAY;2
ALLE;MAUPEOU;2
ALLE;SILHOUETTE;2
ALLE;ERSTER KAVALIER;2
ALLE;KAVALIER;1
ALLE;ZWEITER KAVALIER;1
ALLE;MARQUISE DE POMPADOUR;1
ALLE;EIN PAGE;1
ALLE;EIN ZWEITER PAGE;1
ALLE;SECHS HOFDAMEN UND ZWEI KAMMERDIENER;1
ALLE;DIE MINISTER;2
ALLE;POMPADOUR;4
ALLE;ZWEITER PAGE;1
ALLE;WACHE;1
ALLE;DIE KAMMERDIENER;2
ALLE;PAGE;1
ALLE;DIE DAMEN, CHEVALIERS UND PAGEN;1
ALLE;CONTI UND LAMBERT;1
ALLE;KÖNIGIN;2
ALLE;CONTI;2
ALLE;DIE ÜBRIGEN;2
ALLE;DIENER;1
ALLE;HOFDAMEN;1
ALLE;EIN KAVALIER;1
BOUFFLERS;EPINAY;2
BOUFFLERS;GRIMM;2
BOUFFLERS;QUINAULT;4
BOUFFLERS;HOLBACH;2
BOUFFLERS;LAMBERT;4
BOUFFLERS;DIDEROT;2
BOUFFLERS;EPINAY UND QUINAULT;1
BOUFFLERS;GRIMM UND EPINAY;1
BOUFFLERS;DIE ANDEREN;1
BOUFFLERS;CHOISEUL;1
BOUFFLERS;CONTI UND LAMBERT;1
BOUFFLERS;KÖNIGIN;2
BOUFFLERS;CONTI;2
BOUFFLERS;DIE ÜBRIGEN;2
BOUFFLERS;DIENER;1
EPINAY UND QUINAULT;GRIMM;1
EPINAY UND QUINAULT;QUINAULT;1
EPINAY UND QUINAULT;HOLBACH;1
EPINAY UND QUINAULT;LAMBERT;1
LAMBERT UND QUINAULT;QUINAULT;1
ALLE ÜBRIGEN;BARJAC;1
ALLE ÜBRIGEN;EPINAY;2
ALLE ÜBRIGEN;GRIMM;1
ALLE ÜBRIGEN;QUINAULT;1
ALLE ÜBRIGEN;HOLBACH;1
ALLE ÜBRIGEN;LAMBERT;1
ALLE ÜBRIGEN;DIDEROT;1
ALLE ÜBRIGEN;BOUFFLERS;1
ALLE ÜBRIGEN;BARJAC UND QUINAULT;1
ALLE ÜBRIGEN;ALLES;1
ALLE ÜBRIGEN;GRIMM UND EPINAY;1
ALLE ÜBRIGEN;DIE ANDEREN;1
ALLE ÜBRIGEN;DUBARRY;1
ALLE ÜBRIGEN;CHOISEUL;1
ALLE ÜBRIGEN;POMPADOUR;1
ALLE ÜBRIGEN;EINE DAME;1
BARJAC UND QUINAULT;EPINAY;1
BARJAC UND QUINAULT;GRIMM;1
BARJAC UND QUINAULT;QUINAULT;1
BARJAC UND QUINAULT;HOLBACH;1
BARJAC UND QUINAULT;LAMBERT;1
BARJAC UND QUINAULT;DIDEROT;1
BARJAC UND QUINAULT;BOUFFLERS;1
BARJAC UND QUINAULT;GRIMM UND EPINAY;1
BARJAC UND QUINAULT;DIE ANDEREN;1
ALLES;BARJAC;1
ALLES;EPINAY;1
ALLES;GRIMM;1
ALLES;QUINAULT;1
ALLES;HOLBACH;1
ALLES;LAMBERT;1
ALLES;DIDEROT;1
ALLES;BOUFFLERS;1
ALLES;BARJAC UND QUINAULT;1
ALLES;GRIMM UND EPINAY;1
ALLES;DIE ANDEREN;1
GRIMM UND EPINAY;QUINAULT;1
GRIMM UND EPINAY;HOLBACH;1
GRIMM UND EPINAY;LAMBERT;1
DIE ANDEREN;EPINAY;1
DIE ANDEREN;GRIMM;1
DIE ANDEREN;QUINAULT;1
DIE ANDEREN;HOLBACH;1
DIE ANDEREN;LAMBERT;1
DIE ANDEREN;GRIMM UND EPINAY;1
DUBARRY;EPINAY;2
DUBARRY;QUINAULT;1
DUBARRY;LAMBERT;1
DUBARRY;TERRAY;2
DUBARRY;MAUPEOU;2
DUBARRY;SILHOUETTE;2
DUBARRY;ERSTER KAVALIER;2
DUBARRY;POMPADOUR;3
DUBARRY;PAGE;1
DUBARRY;EINE DAME;1
CHOISEUL;ZWEI GARDISTEN;1
CHOISEUL;EPINAY;3
CHOISEUL;QUINAULT;6
CHOISEUL;LAMBERT;5
CHOISEUL;DUBARRY;9
CHOISEUL;LAKAI;3
CHOISEUL;COLETTE;1
CHOISEUL;TERRAY;2
CHOISEUL;MAUPEOU;2
CHOISEUL;SILHOUETTE;2
CHOISEUL;ERSTER KAVALIER;3
CHOISEUL;DIE MINISTER;1
CHOISEUL;POMPADOUR;7
CHOISEUL;DIE KAMMERDIENER;1
CHOISEUL;PAGE;1
CHOISEUL;DIE DAMEN, CHEVALIERS UND PAGEN;1
CHOISEUL;EINE DAME;1
CHOISEUL;KÖNIGIN;2
CHOISEUL;CONTI;2
CHOISEUL;DIE ÜBRIGEN;1
CHOISEUL;DIENER;1
CHOISEUL;DORIS QUINAULT;2
CHOISEUL;STIMME;1
CHOISEUL;MARQUISE DE POMPADOUR UND DREI HOFDAMEN;1
CHOISEUL;HOFDAMEN;1
CHOISEUL;EIN KAVALIER;1
LAKAI;LAMBERT;1
COLETTE;QUINAULT;4
COLETTE;DORIS QUINAULT;1
MAUPEOU;TERRAY;2
MAUPEOU;SILHOUETTE;2
MAUPEOU;POMPADOUR;1
MAUPEOU;PAGE;1
SILHOUETTE;TERRAY;2
ERSTER KAVALIER;TERRAY;2
ERSTER KAVALIER;MAUPEOU;2
ERSTER KAVALIER;SILHOUETTE;2
ERSTER KAVALIER;POMPADOUR;2
ERSTER KAVALIER;PAGE;1
KAVALIER;ZWEITER KAVALIER;1
KAVALIER;MARQUISE DE POMPADOUR;1
KAVALIER;SECHS HOFDAMEN UND ZWEI KAMMERDIENER;1
KAVALIER;POMPADOUR;2
KAVALIER;ZWEITER PAGE;1
KAVALIER;WACHE;1
KAVALIER;SÄMTLICHE PERSONEN DES SECHSTEN AUFTRITTES;1
ZWEITER KAVALIER;ZWEITER PAGE;1
MARQUISE DE POMPADOUR;ZWEITER KAVALIER;1
MARQUISE DE POMPADOUR;SECHS HOFDAMEN UND ZWEI KAMMERDIENER;1
MARQUISE DE POMPADOUR;POMPADOUR;1
MARQUISE DE POMPADOUR;ZWEITER PAGE;1
MARQUISE DE POMPADOUR;WACHE;1
EIN PAGE;KAVALIER;1
EIN PAGE;ZWEITER KAVALIER;1
EIN PAGE;MARQUISE DE POMPADOUR;1
EIN PAGE;EIN ZWEITER PAGE;1
EIN PAGE;SECHS HOFDAMEN UND ZWEI KAMMERDIENER;1
EIN PAGE;POMPADOUR;1
EIN PAGE;ZWEITER PAGE;1
EIN PAGE;WACHE;1
EIN ZWEITER PAGE;KAVALIER;1
