DER HERR,;RUFE;1
KRAWUTSCHKE;LEHMANN;2
KRAWUTSCHKE;LUDE;1
KRAWUTSCHKE;MIEZE;2
KRAWUTSCHKE;LEHMANNS STIMME;1
KRAWUTSCHKE;MORPHY;1
LEHMANN;LUDE;1
LEHMANN;MIEZE;2
LEHMANN;LEHMANNS STIMME;1
LEHMANN;MORPHY;1
LUDE;MIEZE;1
BULLE;KRAWUTSCHKE;1
BULLE;LEHMANN;1
BULLE;LUDE;1
BULLE;MIEZE;1
BULLE;HENRIETTE MARSCHALL;1
BULLE;HENRIETTE;1
BULLE;HELENE;1
BULLE;LEHMANNS STIMME;1
ABRAMSEN;KRAWUTSCHKE;1
ABRAMSEN;LEHMANN;1
ABRAMSEN;LUDE;1
ABRAMSEN;BULLE;1
ABRAMSEN;MIEZE;1
ABRAMSEN;HENRIETTE MARSCHALL;1
ABRAMSEN;HENRIETTE;1
ABRAMSEN;ANGLER;1
ABRAMSEN;HELENE;1
ABRAMSEN;LEHMANNS STIMME;1
MIEZE;MORPHY;1
HENRIETTE MARSCHALL;KRAWUTSCHKE;1
HENRIETTE MARSCHALL;LEHMANN;1
HENRIETTE MARSCHALL;LUDE;1
HENRIETTE MARSCHALL;MIEZE;1
HENRIETTE MARSCHALL;LEHMANNS STIMME;1
HENRIETTE;KRAWUTSCHKE;2
HENRIETTE;LEHMANN;2
HENRIETTE;LUDE;1
HENRIETTE;MIEZE;2
HENRIETTE;HENRIETTE MARSCHALL;1
HENRIETTE;LEHMANNS STIMME;1
HENRIETTE;MORPHY;1
ANGLER;KRAWUTSCHKE;2
ANGLER;LEHMANN;2
ANGLER;LUDE;1
ANGLER;BULLE;1
ANGLER;MIEZE;2
ANGLER;HENRIETTE MARSCHALL;1
ANGLER;HENRIETTE;2
ANGLER;HELENE;2
ANGLER;LEHMANNS STIMME;1
ANGLER;MORPHY;1
HELENE;KRAWUTSCHKE;2
HELENE;LEHMANN;2
HELENE;LUDE;1
HELENE;MIEZE;2
HELENE;HENRIETTE MARSCHALL;1
HELENE;HENRIETTE;2
HELENE;LEHMANNS STIMME;1
HELENE;MORPHY;1
LEHMANNS STIMME;LUDE;1
LEHMANNS STIMME;MIEZE;1
DER HERR;RUFE VON ALLEN SEITEN;1
DER HERR;RUFE VON DER GALERIE;1
DER HERR;EIN VORSTANDSMITGLIED DER FREIEN BÜHNE;1
DER HERR;EIN ANDERES VORSTANDSMITGLIED;1
DER HERR;RUFE;1
RUFE VON ALLEN SEITEN;RUFE VON DER GALERIE;1
EIN VORSTANDSMITGLIED DER FREIEN BÜHNE;RUFE VON ALLEN SEITEN;1
EIN VORSTANDSMITGLIED DER FREIEN BÜHNE;RUFE VON DER GALERIE;1
EIN VORSTANDSMITGLIED DER FREIEN BÜHNE;RUFE;1
DAS VORSTANDSMITGLIED;DER HERR,;1
DAS VORSTANDSMITGLIED;DER HERR;1
DAS VORSTANDSMITGLIED;RUFE VON ALLEN SEITEN;1
DAS VORSTANDSMITGLIED;RUFE VON DER GALERIE;1
DAS VORSTANDSMITGLIED;EIN VORSTANDSMITGLIED DER FREIEN BÜHNE;1
DAS VORSTANDSMITGLIED;EIN ANDERES VORSTANDSMITGLIED;1
DAS VORSTANDSMITGLIED;RUFE;2
EIN ANDERES VORSTANDSMITGLIED;RUFE VON ALLEN SEITEN;1
EIN ANDERES VORSTANDSMITGLIED;RUFE VON DER GALERIE;1
EIN ANDERES VORSTANDSMITGLIED;EIN VORSTANDSMITGLIED DER FREIEN BÜHNE;1
EIN ANDERES VORSTANDSMITGLIED;RUFE;1
DAS ERSTE VORSTANDSMITGLIED;DER HERR;1
DAS ERSTE VORSTANDSMITGLIED;RUFE VON ALLEN SEITEN;1
DAS ERSTE VORSTANDSMITGLIED;RUFE VON DER GALERIE;1
DAS ERSTE VORSTANDSMITGLIED;EIN VORSTANDSMITGLIED DER FREIEN BÜHNE;1
DAS ERSTE VORSTANDSMITGLIED;DAS VORSTANDSMITGLIED;1
DAS ERSTE VORSTANDSMITGLIED;EIN ANDERES VORSTANDSMITGLIED;1
DAS ERSTE VORSTANDSMITGLIED;RUFE;1
RUFE;RUFE VON ALLEN SEITEN;1
RUFE;RUFE VON DER GALERIE;1
