DIE ANWESENDEN;PRIESTER;1
ERSTER ENGEL;ZWEITER ENGEL;2
ERSTER ENGEL;ERSTER UND ZWEITER ENGEL;2
ERSTER ENGEL;ZWEI ÄLTERE ENGEL;1
ERSTER ENGEL;GOTT VATER;1
ERSTER ENGEL;MARIA;1
ERSTER ENGEL;MARIA MAGDALENA;1
DRITTER ENGEL;ERSTER ENGEL;2
DRITTER ENGEL;ZWEITER ENGEL;2
DRITTER ENGEL;ERSTER UND ZWEITER ENGEL;2
DRITTER ENGEL;ZWEI ÄLTERE ENGEL;1
DRITTER ENGEL;GOTT VATER;1
DRITTER ENGEL;MARIA;1
DRITTER ENGEL;MARIA MAGDALENA;1
ERSTER UND ZWEITER ENGEL;ZWEITER ENGEL;2
ERSTER UND ZWEITER ENGEL;ZWEI ÄLTERE ENGEL;1
ERSTER UND ZWEITER ENGEL;GOTT VATER;1
ERSTER UND ZWEITER ENGEL;MARIA;1
ERSTER UND ZWEITER ENGEL;MARIA MAGDALENA;1
ZWEI ÄLTERE ENGEL;ZWEITER ENGEL;1
DIE ZWEI ÄLTEREN ENGEL;ERSTER ENGEL;1
DIE ZWEI ÄLTEREN ENGEL;ZWEITER ENGEL;1
DIE ZWEI ÄLTEREN ENGEL;DRITTER ENGEL;1
DIE ZWEI ÄLTEREN ENGEL;ERSTER UND ZWEITER ENGEL;1
DIE ZWEI ÄLTEREN ENGEL;ZWEI ÄLTERE ENGEL;1
GOTT VATER;ZWEITER ENGEL;1
GOTT VATER;VERSCHIEDENE ENGEL;1
GOTT VATER;MARIA;2
GOTT VATER;MARIA MAGDALENA;1
GOTT VATER;TEUFEL;1
CHERUBIM;ERSTER ENGEL;1
CHERUBIM;ZWEITER ENGEL;1
CHERUBIM;DRITTER ENGEL;1
CHERUBIM;ERSTER UND ZWEITER ENGEL;1
CHERUBIM;GOTT VATER;4
CHERUBIM;EIN ENGEL;1
CHERUBIM;VERSCHIEDENE ENGEL;1
CHERUBIM;DIE VORAUSEILENDEN ENGEL;1
CHERUBIM;MARIA;1
CHERUBIM;CHRISTUS;1
CHERUBIM;DIE ENGEL;1
CHERUBIM;MARIA MAGDALENA;1
CHERUBIM;CHORUS DER APOSTEL, MÄRTYRER, ENGEL;1
CHERUBIM;CHOR DER APOSTEL, MÄRTYRER, ÄLTEREN ENGEL;1
CHERUBIM;CHOR DER APOSTEL;1
CHERUBIM;DIE JÜNGEREN ENGEL;1
EIN ENGEL;GOTT VATER;1
EIN ENGEL;VERSCHIEDENE ENGEL;1
ALLE ENGEL;GOTT VATER;1
ALLE ENGEL;CHERUBIM;1
ALLE ENGEL;EIN ENGEL;1
ALLE ENGEL;VERSCHIEDENE ENGEL;1
BOTE;GOTT VATER;1
BOTE;CHERUBIM;1
DIE VORAUSEILENDEN ENGEL;ERSTER ENGEL;1
DIE VORAUSEILENDEN ENGEL;ZWEITER ENGEL;1
DIE VORAUSEILENDEN ENGEL;DRITTER ENGEL;1
DIE VORAUSEILENDEN ENGEL;ERSTER UND ZWEITER ENGEL;1
DIE VORAUSEILENDEN ENGEL;GOTT VATER;1
DIE VORAUSEILENDEN ENGEL;MARIA;1
DIE VORAUSEILENDEN ENGEL;MARIA MAGDALENA;1
MARIA;ZWEITER ENGEL;1
MARIA;MARIA MAGDALENA;1
MARIA;TEUFEL;2
CHRISTUS;ERSTER ENGEL;1
CHRISTUS;ZWEITER ENGEL;1
CHRISTUS;DRITTER ENGEL;1
