MUTTER LÜCKEL UND DER ALTE SCHNIERMANN;TRINA;1
MUTTER LÜCKEL UND DER ALTE SCHNIERMANN;TRINA UND LIESA;1
HANNCHEN;MUTTER LÜCKEL;3
HANNCHEN;PITTJUPP;3
HANNCHEN;JAN BIGGEN;2
HANNCHEN;TRINA;3
HANNCHEN;LIESA;3
HANNCHEN;KÖRTING;3
HANNCHEN;LANGENSCHEIDT;3
HANNCHEN;PITTJUPP UND DER ALTE SCHNIERMANN;1
HANNCHEN;HANNCHEN UND DER ALTE SCHNIERMANN;1
HANNCHEN;VONDERSCHEER;2
HANNCHEN;WITTBRÄUKE;2
HANNCHEN;HINNÄCK;2
HANNCHEN;KLÖNNE;1
HANNCHEN;MUTTER LACKEL;1
MUTTER LÜCKEL;MUTTER LÜCKEL UND DER ALTE SCHNIERMANN;1
MUTTER LÜCKEL;PITTJUPP;3
MUTTER LÜCKEL;TRINA;4
MUTTER LÜCKEL;PITTJUPP UND DER ALTE SCHNIERMANN;1
MUTTER LÜCKEL;VONDERSCHEER;2
MUTTER LÜCKEL;WITTBRÄUKE;2
MUTTER LÜCKEL;TRINA UND LIESA;1
DER ALTE SCHNIERMANN;MUTTER LÜCKEL UND DER ALTE SCHNIERMANN;1
DER ALTE SCHNIERMANN;HANNCHEN;3
DER ALTE SCHNIERMANN;MUTTER LÜCKEL;4
DER ALTE SCHNIERMANN;PITTJUPP;3
DER ALTE SCHNIERMANN;JAN BIGGEN;2
DER ALTE SCHNIERMANN;TRINA;4
DER ALTE SCHNIERMANN;LIESA;4
DER ALTE SCHNIERMANN;DER ALTE SCHNIERMANN UND PITTJUPP;1
DER ALTE SCHNIERMANN;DIAKONUS KÖRTING;1
DER ALTE SCHNIERMANN;KÖRTING;4
DER ALTE SCHNIERMANN;LANGENSCHEIDT;3
DER ALTE SCHNIERMANN;PITTJUPP UND DER ALTE SCHNIERMANN;1
DER ALTE SCHNIERMANN;HANNCHEN UND DER ALTE SCHNIERMANN;1
DER ALTE SCHNIERMANN;VONDERSCHEER;2
DER ALTE SCHNIERMANN;WITTBRÄUKE;2
DER ALTE SCHNIERMANN;DIE LÜCKELS;1
DER ALTE SCHNIERMANN;HINNÄCK;2
DER ALTE SCHNIERMANN;DIE KINDER;1
DER ALTE SCHNIERMANN;KLÖNNE;2
DER ALTE SCHNIERMANN;MUTTER LACKEL;1
DER ALTE SCHNIERMANN;TRINA UND LIESA;1
DER ALTE SCHNIERMANN;LIESA UND MUTTER LÜCKEL;1
DER ALTE SCHNIERMANN;DIE DREI;1
PITTJUPP;TRINA;3
PITTJUPP;PITTJUPP UND DER ALTE SCHNIERMANN;1
PITTJUPP;VONDERSCHEER;2
PITTJUPP;WITTBRÄUKE;2
ALLE;MUTTER LÜCKEL UND DER ALTE SCHNIERMANN;1
ALLE;HANNCHEN;2
ALLE;MUTTER LÜCKEL;3
ALLE;DER ALTE SCHNIERMANN;3
ALLE;PITTJUPP;2
ALLE;JAN BIGGEN;2
ALLE;TRINA;3
ALLE;LIESA;3
ALLE;DER ALTE SCHNIERMANN UND PITTJUPP;1
ALLE;DIAKONUS KÖRTING;1
ALLE;KÖRTING;3
ALLE;LANGENSCHEIDT;2
ALLE;PITTJUPP UND DER ALTE SCHNIERMANN;1
ALLE;HANNCHEN UND DER ALTE SCHNIERMANN;1
ALLE;VONDERSCHEER;1
ALLE;WITTBRÄUKE;1
ALLE;DIE LÜCKELS;1
ALLE;HINNÄCK;1
ALLE;ANNGRET;1
ALLE;DIE KINDER;1
ALLE;KLÖNNE;1
ALLE;TRINA UND LIESA;1
ALLE;LIESA UND MUTTER LÜCKEL;1
ALLE;DIE DREI;1
JAN BIGGEN;MUTTER LÜCKEL;2
JAN BIGGEN;PITTJUPP;2
JAN BIGGEN;TRINA;2
JAN BIGGEN;LIESA;2
JAN BIGGEN;KÖRTING;2
JAN BIGGEN;LANGENSCHEIDT;2
JAN BIGGEN;PITTJUPP UND DER ALTE SCHNIERMANN;1
JAN BIGGEN;VONDERSCHEER;1
JAN BIGGEN;WITTBRÄUKE;1
TRINA;VONDERSCHEER;2
TRINA;WITTBRÄUKE;2
TRINA;TRINA UND LIESA;1
LIESA;MUTTER LÜCKEL UND DER ALTE SCHNIERMANN;1
LIESA;MUTTER LÜCKEL;4
LIESA;PITTJUPP;3
LIESA;TRINA;4
LIESA;PITTJUPP UND DER ALTE SCHNIERMANN;1
LIESA;VONDERSCHEER;2
LIESA;WITTBRÄUKE;2
LIESA;MUTTER LACKEL;1
LIESA;TRINA UND LIESA;1
LIESA;LIESA UND MUTTER LÜCKEL;1
DER ALTE SCHNIERMANN UND PITTJUPP;HANNCHEN;1
DER ALTE SCHNIERMANN UND PITTJUPP;MUTTER LÜCKEL;1
DER ALTE SCHNIERMANN UND PITTJUPP;PITTJUPP;1
DER ALTE SCHNIERMANN UND PITTJUPP;JAN BIGGEN;1
DER ALTE SCHNIERMANN UND PITTJUPP;TRINA;1
DER ALTE SCHNIERMANN UND PITTJUPP;LIESA;1
DER ALTE SCHNIERMANN UND PITTJUPP;DIAKONUS KÖRTING;1
DER ALTE SCHNIERMANN UND PITTJUPP;KÖRTING;1
DER ALTE SCHNIERMANN UND PITTJUPP;LANGENSCHEIDT;1
DER ALTE SCHNIERMANN UND PITTJUPP;PITTJUPP UND DER ALTE SCHNIERMANN;1
DIAKONUS KÖRTING;HANNCHEN;1
DIAKONUS KÖRTING;MUTTER LÜCKEL;1
DIAKONUS KÖRTING;PITTJUPP;1
DIAKONUS KÖRTING;JAN BIGGEN;1
DIAKONUS KÖRTING;TRINA;1
DIAKONUS KÖRTING;LIESA;1
DIAKONUS KÖRTING;KÖRTING;1
DIAKONUS KÖRTING;LANGENSCHEIDT;1
DIAKONUS KÖRTING;PITTJUPP UND DER ALTE SCHNIERMANN;1
KÖRTING;MUTTER LÜCKEL UND DER ALTE SCHNIERMANN;1
KÖRTING;MUTTER LÜCKEL;4
KÖRTING;PITTJUPP;3
KÖRTING;TRINA;4
KÖRTING;LIESA;4
KÖRTING;LANGENSCHEIDT;3
KÖRTING;PITTJUPP UND DER ALTE SCHNIERMANN;1
KÖRTING;VONDERSCHEER;2
KÖRTING;WITTBRÄUKE;2
KÖRTING;MUTTER LACKEL;1
KÖRTING;TRINA UND LIESA;1
KÖRTING;LIESA UND MUTTER LÜCKEL;1
LANGENSCHEIDT;MUTTER LÜCKEL;3
LANGENSCHEIDT;PITTJUPP;3
LANGENSCHEIDT;TRINA;3
LANGENSCHEIDT;LIESA;3
LANGENSCHEIDT;PITTJUPP UND DER ALTE SCHNIERMANN;1
LANGENSCHEIDT;VONDERSCHEER;2
LANGENSCHEIDT;WITTBRÄUKE;2
LANGENSCHEIDT;MUTTER LACKEL;1
PITTJUPP UND DER ALTE SCHNIERMANN;TRINA;1
HANNCHEN UND DER ALTE SCHNIERMANN;MUTTER LÜCKEL;1
