STIMME DER BARONIN;THEODOR;1
DIE JUNGFER;GÄRTNER;1
DIE JUNGFER;JUNGFER;1
BESCHLIESSERIN;DIE JUNGFER;1
BESCHLIESSERIN;GÄRTNER;2
BESCHLIESSERIN;JUNGFER;2
GÄRTNER;STIMME DER BARONIN;1
GÄRTNER;JUNGFER;2
GÄRTNER;JAROMIR;1
GÄRTNER;THEODOR;2
GÄRTNER;MARIE;1
GÄRTNER;MELANIE;1
GÄRTNER;HERMINE;1
JUNGFER;MARIE;1
BARONIN;STIMME DER BARONIN;1
BARONIN;BESCHLIESSERIN;1
BARONIN;GÄRTNER;3
BARONIN;JUNGFER;2
BARONIN;KUTSCHER;1
BARONIN;GENERAL;11
BARONIN;JAROMIR;3
BARONIN;DER KLEINE JAROMIR;4
BARONIN;THEODOR;6
BARONIN;MARIE;2
BARONIN;MELANIE;2
BARONIN;HERMINE;1
BARONIN;MILLI;1
GENERAL;STIMME DER BARONIN;1
GENERAL;GÄRTNER;1
GENERAL;JUNGFER;1
GENERAL;JAROMIR;2
GENERAL;THEODOR;4
GENERAL;MARIE;2
GENERAL;MELANIE;2
GENERAL;MILLI;1
JAROMIR;STIMME DER BARONIN;1
JAROMIR;THEODOR;5
JAROMIR;MARIE;2
JAROMIR;MELANIE;5
DER KLEINE JAROMIR;GENERAL;2
DER KLEINE JAROMIR;THEODOR;3
DER KLEINE JAROMIR;MELANIE;1
DER KLEINE JAROMIR;HERMINE;1
ANNA;STIMME DER BARONIN;1
ANNA;GÄRTNER;1
ANNA;BARONIN;7
ANNA;GENERAL;5
ANNA;JAROMIR;2
ANNA;DER KLEINE JAROMIR;6
ANNA;THEODOR;4
ANNA;MARIE;2
ANNA;MELANIE;2
ANNA;STIMME DES KLEINEN JAROMIR;1
ANNA;MILLI;1
MARIE;STIMME DER BARONIN;1
MARIE;THEODOR;2
MARIE;MELANIE;1
MARIE;STIMME DES KLEINEN JAROMIR;1
MELANIE;STIMME DER BARONIN;1
MELANIE;THEODOR;7
HERMINE;JAROMIR;2
HERMINE;THEODOR;4
HERMINE;MELANIE;2
