Title;Number of characters;Max Degree;Average Degree;Density;Average Path Length
BC0470_Aischylos_-_Der_gefesselte_Proemetheus;8;7;7.0;1.0;1.0
BC0456_Aischylos_-_Die_Orestie;30;29;16.8;0.58;1.42
BC0442_Sophokles_-_Antigone;10;9;9.0;1.0;1.0
BC0431_Euripides_-_Medea;11;10;10.0;1.0;1.0
BC0425_Sophokles_-_König_Ödipus;9;8;8.0;1.0;1.0
BC0423_Aristophanes_-_Die_Wolken;17;16;10.82;0.68;1.32
BC0414_Aristophanes_-_Die_Vögel;29;28;13.17;0.47;1.53
BC0411_Aristophanes_-_Lysistrate;32;30;13.25;0.43;1.58
BC0406_Euripides_-_Iphigenie_in_Aulis;8;7;7.0;1.0;1.0
BC0207_Plautus,_Titus_Maccius_-_Amphitryon;23;22;14.35;0.65;1.35
1510_Anonym_-_Das_Münchner_Spiel_vom_sterbenden_Menschen;37;36;36.0;1.0;1.0
1512_Brant,_Sebastian_-_Tugent_Spyl_(Hercules_am_Scheideweg);55;54;31.6;0.59;1.41
1515_Gengenbach,_Pamphilus_-_Der_Nollhart;19;18;18.0;1.0;1.0
1515_Gengenbach,_Pamphilus_-_Die_zehn_Alter_dieser_Welt;5;4;2.0;0.5;1.5
1516_Gengenbach,_Pamphilus_-_Der_Gauchmatt;15;14;14.0;1.0;1.0
1522_Manuel,_Niklaus_-_Underscheid_zwischen_dem_Papst_und_Christum_Jesum;2;1;1.0;1.0;1.0
1522_Manuel,_Niklaus_-_Vom_Papst_und_seiner_Priesterschaft;51;50;50.0;1.0;1.0
1525_Manuel,_Niklaus_-_Ablaßkrämer;18;17;17.0;1.0;1.0
1527_Sachs,_Hans_-_Lucretia;16;15;15.0;1.0;1.0
1527_Waldis,_Burkhard_-_Vom_verlorenen_Sohn;26;25;18.46;0.74;1.26
1532_Birck,_Sixt_-_Susanna;60;59;59.0;1.0;1.0
1532_Kolroß,_Johannes_-_Von_fünferlei_Betrachtnis;18;17;17.0;1.0;1.0
1535_Rebhuhn,_Paul_-_Susanna;26;22;12.69;0.51;1.49
1537_Wickram,_Georg_-_Das_Narrengießen;15;10;4.8;0.34;1.75
1538_Birck,_Sixt_-_Ezechias;18;17;17.0;1.0;1.0
1538_Birck,_Sixt_-_Zorobabel;45;44;44.0;1.0;1.0
1538_Voigt,_Valentin_-_Spiel_vom_Menschen;27;12;3.93;0.15;1.94
1539_Birck,_Sixt_-_Judith;66;65;33.24;0.51;1.49
1540_Seitz,_Alexander_-_Tragedi_vom_grossen_Abentmal;56;55;55.0;1.0;1.0
1540_Wickram,_Georg_-_Der_verlorene_Sohn;71;70;70.0;1.0;1.0
1543_Schmeltzl,_Wolfgang_-_Comoedia_der_Hochzeit_Cana_Galilee;20;19;19.0;1.0;1.0
1544_Sachs,_Hans_-_Der_schwanger_Pawer;8;7;7.0;1.0;1.0
1545_Schmeltzl,_Wolfgang_-_Comedia_des_verlornen_Sons;13;11;4.15;0.35;1.77
1546_Sachs,_Hans_-_Die_gedultig_und_gehorsam_Marggräfin_Griselda;26;25;9.54;0.38;1.62
1549_Sachs,_Hans_-_Von_dem_sterbenden_reichen_Menschen,_Hekastus_genannt;47;46;22.68;0.49;1.51
1550_Ruoff_(Ruff),_Jakob_-_Adam_und_Heva;125;123;49.84;0.4;1.61
1551_Sachs,_Hans_-_Das_heyß_Eysen;12;11;11.0;1.0;1.0
1551_Sachs,_Hans_-_Der_farendt_Schuler_mit_dem_Teuffel-Pannen;11;10;10.0;1.0;1.0
1553_Sachs,_Hans_-_Die_alt_verschlagen_Kuplerin_mit_dem_Thumbherrn;19;18;18.0;1.0;1.0
