;closeness;central_character_rank;weighted_centralities_rank;degree;betweenness
WIEDER EIN GARDIST;0.44669767441860464;67.33333333333333;{'closeness': 11, 'degree': 39, 'betweenness': 42};25;0.0
ERSTER OFFIZIER;0.44669767441860464;36.833333333333336;{'closeness': 12, 'degree': 40, 'betweenness': 43};25;0.0
MADAME DE SERRÉ;0.3228235294117647;129.33333333333331;{'closeness': 156, 'degree': 145, 'betweenness': 121};10;0.0
EINE ORDONNANZ;0.3758904109589041;63.333333333333336;{'closeness': 81, 'degree': 121, 'betweenness': 46};11;0.0
EINER DER GARDEHOBOISTEN;0.3686756238003839;58.0;{'closeness': 90, 'degree': 76, 'betweenness': 47};17;0.0
DIE STUHLVERMIETERIN;0.3888259109311741;51.66666666666667;{'closeness': 62, 'degree': 62, 'betweenness': 48};18;0.0
VITRY;0.5682840236686391;2.0;{'closeness': 1, 'degree': 1, 'betweenness': 1};74;0.19316629390671308
EPHRAIM;0.3154022988505747;87.0;{'closeness': 164, 'degree': 168, 'betweenness': 49};8;0.0
ALTER GARDEGRENADIER;0.3306024096385542;74.5;{'closeness': 131, 'degree': 122, 'betweenness': 50};11;0.0
DIE NICHTE;0.2941500765696784;157.0;{'closeness': 175, 'degree': 194, 'betweenness': 51};4;0.0
EIN GENSD'ARMES (2. AKT);0.3758904109589041;75.5;{'closeness': 82, 'degree': 169, 'betweenness': 52};8;0.0
SCHNEIDERMEISTER;0.4139655172413793;44.83333333333333;{'closeness': 40, 'degree': 23, 'betweenness': 53};26;0.0
EINE MASSE FRANZÖSISCHER REITTENDER ARTILLERIE;0.3570260223048327;81.5;{'closeness': 105, 'degree': 174, 'betweenness': 54};7;0.0
EIN ANDERER FRANZÖSISCHER HAUPTMANN;0.32336700336700336;74.66666666666666;{'closeness': 140, 'degree': 91, 'betweenness': 55};16;0.0
EIN ALTER OFFIZIER IN ZIVILTRACHT;0.3888259109311741;76.83333333333333;{'closeness': 63, 'degree': 63, 'betweenness': 56};18;0.0
ALLE ANWESENDEN;0.3524403669724771;87.66666666666666;{'closeness': 112, 'degree': 192, 'betweenness': 57};5;0.0
ENGLISCHER FAHNENTRÄGER;0.3498724954462659;84.16666666666666;{'closeness': 125, 'degree': 154, 'betweenness': 58};9;0.0
EIN FRANZÖSISCHER SOLDAT;0.32336700336700336;77.16666666666666;{'closeness': 141, 'degree': 92, 'betweenness': 59};16;0.0
NAPOLEON;0.5425988700564972;2.0;{'closeness': 3, 'degree': 3, 'betweenness': 3};64;0.15452306155137496
SCHWARZER BECKER;0.28711509715994016;108.33333333333333;{'closeness': 192, 'degree': 134, 'betweenness': 150};11;0.0
EIN ALTER HANNOVERISCHER SCHARFSCHUTZ;0.32336700336700336;78.83333333333334;{'closeness': 142, 'degree': 93, 'betweenness': 61};16;0.0
EIN BERLINER FREIWILLIGER;0.3174876033057851;60.666666666666664;{'closeness': 162, 'degree': 108, 'betweenness': 37};12;0.0007303182579564489
EINE MASSE FRANZÖSISCHER REITER;0.3570260223048327;87.16666666666666;{'closeness': 106, 'degree': 175, 'betweenness': 62};7;0.0
FELDWEBEL;0.3174876033057851;61.666666666666664;{'closeness': 163, 'degree': 109, 'betweenness': 38};12;0.0007303182579564489
LEUTE VERSCHIEDENEN STANDES;0.4139655172413793;52.16666666666667;{'closeness': 42, 'degree': 25, 'betweenness': 63};26;0.0
EIN OFFIZIER DER SUITE;0.3686756238003839;69.66666666666666;{'closeness': 91, 'degree': 77, 'betweenness': 64};17;0.0
DRITTER ADJUTANT (5. AKT);0.3686756238003839;70.66666666666666;{'closeness': 92, 'degree': 78, 'betweenness': 65};17;0.0
DIE GRANITKOLONNE;0.38186878727634194;81.5;{'closeness': 76, 'degree': 155, 'betweenness': 66};9;0.0
EIN ENGLISCHER ARTILLERIEOBRIST;0.28711509715994016;159.33333333333334;{'closeness': 187, 'degree': 123, 'betweenness': 67};11;0.0
EIN HAUPTMANN DER GENSD'ARMES;0.4139655172413793;56.0;{'closeness': 43, 'degree': 26, 'betweenness': 69};26;0.0
VORSTÄDTER;0.4139655172413793;57.0;{'closeness': 44, 'degree': 27, 'betweenness': 70};26;0.0
EIN ANDERER ALTER GARDEGRENADIER;0.3306024096385542;88.5;{'closeness': 132, 'degree': 124, 'betweenness': 71};11;0.0
EIN JUNGE;0.3154022988505747;119.16666666666667;{'closeness': 165, 'degree': 187, 'betweenness': 72};6;0.0
ADVOKAT DUCHESNE;0.4395423340961098;14.5;{'closeness': 30, 'degree': 8, 'betweenness': 25};43;0.012989298420416868
EIN IN DER FERNE IN DIE SCHLACHTLINIE RÜCKENDES REGIMENT;0.44669767441860464;56.5;{'closeness': 14, 'degree': 42, 'betweenness': 73};25;0.0
DER POLNISCHE LEGIONSREITER;0.3524403669724771;98.83333333333334;{'closeness': 113, 'degree': 193, 'betweenness': 74};5;0.0
AUSRUFER EINER MENAGERIE;0.3888259109311741;69.83333333333334;{'closeness': 64, 'degree': 64, 'betweenness': 75};18;0.0
